key,title,authors,year,journal,publisher,citations,url,tool
sarachu2004wemboss,wEMBOSS: a web interface for EMBOSS,"Sarachu, Mart{\'\i}n and Colet, Marc",2004,Bioinformatics,Oxford University Press,56,https://academic.oup.com/bioinformatics/article-abstract/21/4/540/203322,EMBOSS
carver2003design,The design of Jemboss: a graphical user interface to EMBOSS,"Carver, Tim and Bleasby, Alan",2003,Bioinformatics,Oxford University Press,112,https://academic.oup.com/bioinformatics/article-abstract/19/14/1837/246064,EMBOSS
carver2002website,Website Update: A new graphical user interface to EMBOSS,"Carver, Tim J and Mullan, Lisa J",2002,International Journal of Genomics,Hindawi,15,http://downloads.hindawi.com/journals/ijg/2002/209681.pdf,EMBOSS
rice2000emboss,EMBOSS: the European molecular biology open software suite,"Rice, Peter and Longden, Ian and Bleasby, Alan",2000,Trends in genetics,Elsevier,6252,https://www.cell.com/trends/genetics/fulltext/S0168-9525(00)02024-2,EMBOSS
shannon2003cytoscape,Cytoscape: a software environment for integrated models of biomolecular interaction networks,"Shannon, Paul and Markiel, Andrew and Ozier, Owen and Baliga, Nitin S and Wang, Jonathan T and Ramage, Daniel and Amin, Nada and Schwikowski, Benno and Ideker, Trey",2003,Genome research,Cold Spring Harbor Lab,11517,http://genome.cshlp.org/content/13/11/2498.short,Cytoscape
spitzer2014boxplotr,BoxPlotR: a web tool for generation of box plots,"Spitzer, Michaela and Wildenhain, Jan and Rappsilber, Juri and Tyers, Mike",2014,Nature methods,Nature Publishing Group,237,https://www.nature.com/nmeth/journal/v11/n2/full/nmeth.2811.html,BoxPlotR
tarassov2005ivici,iVici: interrelational visualization and correlation interface,"Tarassov, Kirill and Michnick, Stephen W",2005,Genome biology,BioMed Central,19,https://genomebiology.biomedcentral.com/articles/10.1186/gb-2005-6-13-r115,iVici
metsalu2015clustvis,ClustVis: a web tool for visualizing clustering of multivariate data using Principal Component Analysis and heatmap,"Metsalu, Tauno and Vilo, Jaak",2015,Nucleic acids research,Oxford University Press,192,https://academic.oup.com/nar/article-abstract/43/W1/W566/2467929,ClustVis
lopes2010cytoscape,Cytoscape Web: an interactive web-based network browser,"Lopes, Christian T and Franz, Max and Kazi, Farzana and Donaldson, Sylva L and Morris, Quaid and Bader, Gary D",2010,Bioinformatics,Oxford University Press,514,https://academic.oup.com/bioinformatics/article-abstract/26/18/2347/209295,Cytoscape Web
chen2011venndiagram,VennDiagram: a package for the generation of highly-customizable Venn and Euler diagrams in R,"Chen, Hanbo and Boutros, Paul C",2011,BMC bioinformatics,BioMed Central,384,https://bmcbioinformatics.biomedcentral.com/articles/10.1186/1471-2105-12-35,VennDiagram
bryant2016webcharts,Webcharts--A Web-based Charting Library for Custom Interactive Data Visualization,"Bryant, Nathan and Wildfire, Jeremy",2016,Journal of Open Research Software,Ubiquity Press,5,https://openresearchsoftware.metajnl.com/articles/10.5334/jors.127/,Webcharts
fisher2010visualizations,Visualizations everywhere: A multiplatform infrastructure for linked visualizations,"Fisher, Danyel and Drucker, Steven and Fernandez, Roland and Ruble, Scott",2010,IEEE Transactions on Visualization and Computer Graphics,IEEE,19,https://ieeexplore.ieee.org/abstract/document/5613454/,Webcharts
walter2015goplot,GOplot: an R package for visually combining expression data with functional analysis,"Walter, Wencke and S{\'a}nchez-Cabo, F{\'a}tima and Ricote, Mercedes",2015,Bioinformatics,Oxford University Press,76,https://academic.oup.com/bioinformatics/article-abstract/31/17/2912/184136,GOplot
grapov2012imdev,imDEV: a graphical user interface to R multivariate analysis tools in Microsoft Excel,"Grapov, Dmitry and Newman, John W",2012,Bioinformatics,Oxford University Press,36,https://academic.oup.com/bioinformatics/article-abstract/28/17/2288/246273,imDEV
raffelsberger2007rreportgenerator,RReportGenerator: automatic reports from routine statistical analysis using R,"Raffelsberger, Wolfgang and Krause, Yannick and Moulinier, Luc and Kieffer, David and Morand, Anne-Laure and Brino, Laurent and Poch, Olivier",2007,Bioinformatics,Oxford University Press,17,https://academic.oup.com/bioinformatics/article-abstract/24/2/276/227245,RReportGenerator
shen2010sbml2tikz,SBML2TikZ: supporting the SBML render extension in LaTeX,"Shen, Si Yuan and Bergmann, Frank and Sauro, Herbert M",2010,Bioinformatics,Oxford University Press,5,https://academic.oup.com/bioinformatics/article-abstract/26/21/2794/213895,SBML2TikZ
mustafa2018dynamic,Dynamic compression schemes for graph coloring,"Mustafa, Harun and Schilken, Ingo and Karasikov, Mikhail and Eickhoff, Carsten and Ratsch, Gunnar and Kahles, Andre",2018,bioRxiv,Cold Spring Harbor Laboratory,2,https://www.biorxiv.org/content/early/2018/03/17/239806.abstract,graph_annotation
rougier2014ten,Ten simple rules for better figures,"Rougier, Nicolas P and Droettboom, Michael and Bourne, Philip E",2014,PLoS computational biology,Public Library of Science,37,http://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1003833,TikZ and PGF
travin2017comics,COMICS: Cartoon Visualization of Omics Data in Spatial Context Using Anatomical Ontologies,"Travin, Dmitrii and Popov, Iaroslav and Guler, Arzu Tugce and Medvedev, Dmitry and van der Plas-Duivesteijn, Suzanne and Varela, Monica and Kolder, Iris CRM and Meijer, Annemarie H and Spaink, Herman P and Palmblad, Magnus",2017,Journal of proteome research,ACS Publications,0,https://pubs.acs.org/doi/abs/10.1021/acs.jproteome.7b00615,COMICS
mazzara2017combiroc,CombiROC: an interactive web tool for selecting accurate marker combinations of omics data,"Mazzara, Saveria and Rossi, Riccardo L and Grifantini, Renata and Donizetti, Simone and Abrignani, Sergio and Bombaci, Mauro",2017,Scientific reports,Nature Publishing Group,5,https://www.nature.com/articles/srep45477,CombiROC
barsnes2015jsparklines,JSparklines: Making tabular proteomics data come alive,"Barsnes, Harald and Vaudel, Marc and Martens, Lennart",2015,Proteomics,Wiley Online Library,6,https://onlinelibrary.wiley.com/doi/abs/10.1002/pmic.201400356,JSparklines
kruppa2017automated,Automated multigroup outlier identification in molecular high-throughput data using bagplots and gemplots,"Kruppa, Jochen and Jung, Klaus",2017,BMC bioinformatics,BioMed Central,2,https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-017-1645-5,gemPlot
carden2017cahost,CAHOST: an excel workbook for facilitating the johnson-neyman technique for two-way interactions in multiple regression,"Carden, Stephen W and Holtzman, Nicholas S and Strube, Michael J",2017,Frontiers in psychology,Frontiers,2,https://www.frontiersin.org/articles/10.3389/fpsyg.2017.01293,CAHOST
mannige2018backmap,The BackMAP Python module: how a simpler Ramachandran number can simplify the life of a protein simulator,"Mannige, Ranjan",2018,PeerJ,PeerJ Inc.,0,https://peerj.com/articles/5745/,BackMAP
barrios2018rjsplot,RJSplot: Interactive Graphs with R,"Barrios, David and Prieto, Carlos",2018,Molecular informatics,Wiley Online Library,0,https://onlinelibrary.wiley.com/doi/abs/10.1002/minf.201700090,RJSplot
satyanarayan2014lyra,Lyra: An interactive visualization design environment,"Satyanarayan, Arvind and Heer, Jeffrey",2014,,,73,https://onlinelibrary.wiley.com/doi/abs/10.1111/cgf.12391,Lyra
bik2014phinch,"Phinch: an interactive, exploratory data visualization framework for--Omic datasets","Bik, Holly M and Interactive, Pitch",2014,bioRxiv,Cold Spring Harbor Laboratory,11,https://www.biorxiv.org/content/early/2014/10/03/009944.short,Phinch
matelsky2017substrate,"A substrate for modular, extensible data-visualization","Matelsky, Jordan K and Downs, Joseph and Wester, Brock and Roncal, William Gray",2017,bioRxiv,Cold Spring Harbor Laboratory,0,https://www.biorxiv.org/content/early/2017/11/10/217349.abstract,substrate
heer2005prefuse,Prefuse: a toolkit for interactive information visualization,"Heer, Jeffrey and Card, Stuart K and Landay, James A",2005,,,884,https://dl.acm.org/citation.cfm?id=1055031,Prefuse
bivand2015comparing,Comparing implementations of estimation methods for spatial econometrics,"Bivand, Roger and Piras, Gianfranco",2015,,,365,https://brage.bibsys.no/xmlui/bitstream/handle/11250/276920/Bivand_Piras.pdf?sequence=3,Spdep
swayne2003ggobi,GGobi: evolving from XGobi into an extensible framework for interactive data visualization,"Swayne, Deborah F and Lang, Duncan Temple and Buja, Andreas and Cook, Dianne",2003,Computational Statistics \& Data Analysis,Elsevier,268,https://www.sciencedirect.com/science/article/pii/S0167947302002864,GGobi
swayne1998xgobi,XGobi: Interactive dynamic data visualization in the X Window System,"Swayne, Deborah F and Cook, Dianne and Buja, Andreas",1998,Journal of computational and Graphical Statistics,Taylor \& Francis Group,340,https://amstat.tandfonline.com/doi/abs/10.1080/10618600.1998.10474764,XGobi
p2017bpg,"BPG: Seamless, Automated and Interactive Visualization of Scientific Data","P'ng, Christine and Green, Jeffrey and Chong, Lauren C and Waggott, Daryl and Prokopec, Stephenie D and Shamsi, Mehrdad and Nguyen, Francis and Mak, Denise YF and Lam, Felix and Albuquerque, Marco A and others",2017,bioRxiv,Cold Spring Harbor Laboratory,1,https://www.biorxiv.org/content/early/2017/06/26/156067.abstract,BPG
hammer2001past,PAST-Palaeontological statistics,"Hammer, {\O}yvind and Harper, DAT and Ryan, PD",2001,"www. uv. es/\~{} pardomv/pe/2001\_1/past/pastprog/past. pdf, acessado em",,35,,PAST
rousseeuw1987silhouettes,Silhouettes: a graphical aid to the interpretation and validation of cluster analysis,"Rousseeuw, Peter J",1987,Journal of computational and applied mathematics,Elsevier,6557,https://www.sciencedirect.com/science/article/pii/0377042787901257,Silhouettes
biswas2011datpav,"datPAV—an online processing, analysis and visualization tool for exploratory investigation of experimental data","Biswas, Ambarish and Rao, Raghuraj and Umashankar, Shivshankar and Mynampati, Kalyan C and Reuben, Sheela and Parab, Gauri and Swarup, Sanjay",2011,Bioinformatics,Oxford University Press,8,https://academic.oup.com/bioinformatics/article-abstract/27/11/1585/217979,datPAV
krzywinski2009circos,Circos: an information aesthetic for comparative genomics,"Krzywinski, Martin I and Schein, Jacqueline E and Birol, Inanc and Connors, Joseph and Gascoyne, Randy and Horsman, Doug and Jones, Steven J and Marra, Marco A",2009,Genome research,Cold Spring Harbor Lab,3692,http://genome.cshlp.org/content/early/2009/06/15/gr.092759.109.short,Circos
gu2014circlize,circlize implements and enhances circular visualization in R,"Gu, Zuguang and Gu, Lei and Eils, Roland and Schlesner, Matthias and Brors, Benedikt",2014,Bioinformatics,Oxford University Press,170,https://academic.oup.com/bioinformatics/article-abstract/30/19/2811/2422259,circlize
yu2017shinycircos,shinyCircos: an R/Shiny application for interactive creation of Circos plot,"Yu, Yiming and Ouyang, Yidan and Yao, Wen",2017,Bioinformatics,Oxford University Press,0,https://academic.oup.com/bioinformatics/article-abstract/34/7/1229/4657077,shinyCircos
